entity_id,type,content,reason_of_reporting,score_summary,admin_check,admin_comment
08ab4dbc-cc94-4b27-bf25-29eb7bd527c0,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'vzgzsjdj hehehddj bdhekeke dhejkekejs bdhdj3kens IDK kick', 'toxicity_score': 0.7159488201141357}]",toxicity,"{'toxicity': 0.7159488201141357, 'pii': 0, 'nsfw': 0.49670135974884033}",Review required,
16e27cf3-bc6c-42a1-bd64-024019a7c657,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'Gggg', 'toxicity_score': 0.6869741082191467}]",toxicity,"{'toxicity': 0.6869741082191467, 'pii': 0, 'nsfw': 0.4981451630592346}",Review required,
2e62c9bd-ef31-4fac-a1f2-26868ec6a769,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'fg ka bhi ho ok dgddrf', 'toxicity_score': 0.6990445852279663}]",toxicity,"{'toxicity': 0.6990445852279663, 'pii': 0, 'nsfw': 0.49908506870269775}",Review required,
5c17e069-a651-4ff3-add3-1449b3e3e84d,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'Xfghnkouuyhhggg', 'toxicity_score': 0.8213329911231995}]",toxicity,"{'toxicity': 0.8213329911231995, 'pii': 0, 'nsfw': 0.4973869025707245}",Review required,
5d6441a1-751f-46cc-8d0d-1b358d9b63d3,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'fhkk', 'toxicity_score': 0.7129070162773132}]",toxicity,"{'toxicity': 0.7129070162773132, 'pii': 0, 'nsfw': 0.4930466413497925}",Review required,
60a24156-ff74-4da6-aa01-102a56b82fdc,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'dgdhjdks dhdjjddh dhdjkssb', 'toxicity_score': 0.6190517544746399}]",toxicity,"{'toxicity': 0.6190517544746399, 'pii': 0, 'nsfw': 0.49987471103668213}",Review required,
777c86bf-2f21-4803-a218-006e49c29758,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'gfurh fhfhrh fhfh', 'toxicity_score': 0.7389546632766724}]",toxicity,"{'toxicity': 0.7389546632766724, 'pii': 0, 'nsfw': 0.4977670907974243}",Review required,
8042177d-7fae-44ea-9c2d-1b3543ec4d49,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'hdshsj dhuddish hdheuis dhshdbs jwjsksj sbhshddh sghskjabs', 'toxicity_score': 0.690966784954071}]",toxicity,"{'toxicity': 0.690966784954071, 'pii': 0, 'nsfw': 0.502587080001831}",Review required,
a3617545-3dbf-45bf-9bcc-299a630964bc,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'IDK IDK pls sis vish pen lots slots scud ofc aloud em ofc an', 'toxicity_score': 0.6923177242279053}]",toxicity,"{'toxicity': 0.6923177242279053, 'pii': 0, 'nsfw': 0.5020560622215271}",Review required,
c453ef57-74c1-4d81-99d7-2991f4f4bd9b,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'fhkk', 'toxicity_score': 0.7129068970680237}]",toxicity,"{'toxicity': 0.7129068970680237, 'pii': 0, 'nsfw': 0.4942936301231384}",Review required,
d02a6809-b154-4c21-b965-1f589237c988,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'ljhqkkwijo lehfjwkhoehf qflq;lg vdhqhahe hdsfhsfuruf  whjfjkfbe bhfash', 'toxicity_score': 0.6247029900550842}]",toxicity,"{'toxicity': 0.6247029900550842, 'pii': 0, 'nsfw': 0.5045183300971985}",Review required,
ecf8edd7-e3aa-4b8d-aaf1-2b266cfe4551,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'hdshsj dhuddish hdheuis dhshdbs jwjsksj sbhshddh sghskjabs', 'toxicity_score': 0.690966784954071}]",toxicity,"{'toxicity': 0.690966784954071, 'pii': 0, 'nsfw': 0.5024656653404236}",Review required,
ef5b040f-e1bc-4a7e-becb-12a30ec2bc0e,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'svdqdqdjk jewfkjwefiwe wjrhgurhl snamnkjj', 'toxicity_score': 0.6242469549179077}]",toxicity,"{'toxicity': 0.6242469549179077, 'pii': 0, 'nsfw': 0.5061407089233398}",Review required,
f08acc21-2c32-402d-9e09-24c5ebe123c9,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'ccggg', 'toxicity_score': 0.6385376453399658}]",toxicity,"{'toxicity': 0.6385376453399658, 'pii': 0, 'nsfw': 0.4992465674877167}",Review required,
f596135e-98df-45ee-aabb-25583599c501,service,"[{'flag': 'toxicity', 'origin': 'description', 'value': 'gdhshdu shshjeie scsggshs dhjsks', 'toxicity_score': 0.6740872263908386}]",toxicity,"{'toxicity': 0.6740872263908386, 'pii': 0, 'nsfw': 0.49868154525756836}",Review required,
fa45e198-f094-49fc-bde5-204874994597,service,"[{'flag': 'toxicity', 'origin': 'title', 'value': 'gggg', 'toxicity_score': 0.6869742274284363}]",toxicity,"{'toxicity': 0.6869742274284363, 'pii': 0, 'nsfw': 0.4993104934692383}",Review required,
1725e6b8-abac-48fc-a73d-2a31b840a433,provider,"[{'flag': 'toxicity', 'origin': 'about', 'value': 'gudi stick con duck duck ml picku suck coc', 'toxicity_score': 0.9925330877304077}]",toxicity,"{'toxicity': 0.9925330877304077, 'pii': 0, 'nsfw': 0.0}",Review required,
3cd0544a-0b5b-4f0f-9153-1df3239b8736,provider,"[{'flag': 'toxicity', 'origin': 'about', 'value': 'fhvhjfuiv dhcfhebifh d ghgughgv dgfhwrhf xbcmndbs vnbvcnbs bcmdbsb bnscnbsdj', 'toxicity_score': 0.756419837474823}]",toxicity,"{'toxicity': 0.756419837474823, 'pii': 0, 'nsfw': 0.0}",Review required,
42bd7957-7ea4-4c0f-afdf-07d4140ccdf2,provider,"[{'flag': 'toxicity', 'origin': 'name', 'value': 'fathima banu shop', 'toxicity_score': 0.6578395366668701}]",toxicity,"{'toxicity': 0.6578395366668701, 'pii': 0, 'nsfw': 0.0}",Review required,
4e247107-50b2-4a36-914a-08ea2facdf50,provider,"[{'flag': 'toxicity', 'origin': 'name', 'value': 'gggggg', 'toxicity_score': 0.776452362537384}]",toxicity,"{'toxicity': 0.776452362537384, 'pii': 0, 'nsfw': 0.0}",Review required,
51186002-0f61-450b-be7a-32ca123d85dc,provider,"[{'flag': 'toxicity', 'origin': 'about', 'value': 'fvvfwhufh bhhjrbufh vefbfe lqkjqlilfellg', 'toxicity_score': 0.7920178771018982}]",toxicity,"{'toxicity': 0.7920178771018982, 'pii': 0, 'nsfw': 0.0}",Review required,
